鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市建和街25巷30弄1~30號,75.16,住,,,1070412,土地6建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0830929,163.45,4,3,3,有,無,5400000,33038,,0.0,0,,RPWOMLSJOHNFFAU08CA
新城鄉,土地,嘉南段61~90地號,136.0,住,,,1070328,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,16176,,0.0,0,,RPSOMLTKOHNFFAU87CA
花蓮市,房地(土地+建物),花蓮縣吉安鄉自強路594巷1~30號,9.52,住,,,1070515,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831117,31.33,0,0,0,無,無,2150000,68624,,0.0,0,,RPQNMLKLOHNFFAU76CA
光復鄉,房地(土地+建物),花蓮縣光復鄉中華路232巷1~30號,89.0,住,,,1070504,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0710615,103.75,3,1,2,有,無,3350000,32289,,0.0,0,,RPPNMLOLNHNFFBU07CA
富里鄉,土地,埔頭段871~900地號,100.0,,,,1070510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,1500,,0.0,0,,RPTNMLLJOHNFFCU17CA
光復鄉,土地,管真段391~420地號,477.01,,山坡地保育區,丙種建築用地,1070403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,486168,1019,,0.0,0,,RPRNMLOJOHNFFBU17CA
吉安鄉,土地,仁和段91~120地號,880.35,農,,,1070410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30600000,34759,,0.0,0,,RPSNMLPJOHNFFAU47EA
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路361巷4弄1~30號,68.0,住,,,1070421,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0610913,92.28,2,2,2,有,無,5500000,59601,,0.0,0,,RPQOMLPLNHNFFAU47EA
萬榮鄉,土地,支亞干段1831~1860地號,1461.9,,一般農業區,農牧用地,1070418,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,1368,,0.0,0,,RPPNMLPLNHNFFBU17CA
光復鄉,土地,溪州段811~840地號,213.38,,特定農業區,甲種建築用地,1070514,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,1312,,0.0,0,無聯外通路且連住宅後面全部是排油煙機出口,RPPNMLTLNHNFFBU57CA
鳳林鎮,土地,鳳凰段811~840地號,4097.74,,一般農業區,農牧用地,1070426,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,439,,0.0,0,無聯外道路,RPQNMLTLNHNFFBU67CA
