鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
西屯區,房地(土地+建物)+車位,臺中市西屯區天水西五街1~30號,25.23,住,,,1070429,土地1建物1車位2,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010523,179.60000000000002,3,2,2,有,無,13200000,73497,坡道平面,46.5,0,,RPRPMLMKOHNFFCB08CA
西屯區,房地(土地+建物)+車位,臺中市西屯區漢翔路331~360號,33.43,住,,,1070424,土地3建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020128,308.19,4,2,2,有,有,23500000,76252,坡道平面,63.54,0,,RPSNMLTJOHNFFCB58CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南五路一段481~510號,33.16,住,,,1070511,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060424,173.86,3,2,2,有,有,14000000,92102,坡道平面,39.77,1650000,,RPTNMLMKOHNFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南五路一段481~510號,26.66,住,,,1070425,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060424,137.91,2,2,1,有,有,10000000,86101,坡道平面,39.77,1550000,,RPUNMLMKOHNFFCB18CA
西屯區,房地(土地+建物),臺中市西屯區西安街277巷25弄1~30號,4.48,住,,,1070508,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830120,28.700000000000003,3,2,2,有,有,1260000,43902,,0.0,0,,RPQNMLRJOHNFFCB18CA
西屯區,房地(土地+建物),臺中市西屯區永福路31~60號,17.84,住,,,1070423,土地2建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830106,148.04999999999998,3,2,2,有,有,8000000,54036,,0.0,0,,RPXOMLQJOHNFFCB88CA
南屯區,房地(土地+建物),臺中市南屯區南屯路二段391~420號,150.0,住,,,1070503,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0700103,327.51,0,0,0,無,無,81000000,247321,,0.0,0,,RPQQMLQJOHNFFCB38CA
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北五路181~210號,44.08,其他,,,1050416,土地1建物1車位3,二十五層,三十九層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060624,709.25,4,2,5,有,有,139004160,214018,坡道平面,89.19,6300000,"1.車位未分別計價。2.總價含面積找補款＄604,160。",RPTPMLPJOHNFFCB48CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路121~150號,7.11,住,,,1070419,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,89.46000000000001,2,2,1,有,有,6950000,77688,坡道平面,22.28,0,,RPOQMLPJOHNFFCB08CA
西屯區,土地,逢大段1~30地號,57047.3,其他,,,1070413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2356566916,41309,,0.0,0,專案讓售(水湳機場原址南側區段徵收案內(文教19)),RPUOMLPJOHNFFCB48CA
西屯區,房地(土地+建物),臺中市西屯區漢口路一段1~30號,22.47,住,,,1070425,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750506,78.15,3,2,1,有,無,4000000,51184,,0.0,0,,RPURMLLJOHNFFCB38CA
