鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
埔里鎮,房地(土地+建物),南投縣埔里鎮漢中街1~30號,21.9,住,,,1070501,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0830707,119.46,3,2,2,有,有,3000000,25113,,0.0,0,,RPVNMLLKOHNFFCM66CA
竹山鎮,土地,埔頭段481~510地號,214.0,住,,,1070428,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3752600,17536,,0.0,0,,RPPNMLMKOHNFFDM88CA
草屯鎮,房地(土地+建物),南投縣草屯鎮儒林街91~120號,23.88,住,,,1070508,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0570720,26.07,2,2,1,有,無,2200000,84388,,0.0,0,,RPPNMLOJOHNFFBM88DA
草屯鎮,土地,茄荖山段211~240地號,195.0,,特定農業區,交通用地,1070521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1415700,7260,,0.0,0,道路拓寬協議價購,RPSNMLOJOHNFFBM56DA
草屯鎮,房地(土地+建物),南投縣草屯鎮儒林街91~120號,23.88,住,,,1070508,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0570720,26.07,2,2,1,有,無,2200000,84388,,0.0,0,,RPTNMLPJOHNFFBM76DA
埔里鎮,房地(土地+建物),南投縣埔里鎮福興路1~30號,96.64,,特定農業區,甲種建築用地,1070321,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1070119,215.2,5,1,6,有,無,10200000,47398,,0.0,0,,RPUNMLQLOHNFFCM17CA
仁愛鄉,土地,眉原段121~150地號,3640.0,,森林區,農牧用地,1070501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,110,,0.0,0,,RPVNMLKLOHNFFCM66CA
鹿谷鄉,土地,石城段31~60地號,3712.75,,山坡地保育區,林業用地,1070505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,296,,0.0,0,,RPUNMLPJOHNFFDM96CA
竹山鎮,土地,吉祥段751~780地號,24.22,住,,,1070523,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520000,21470,,0.0,0,,RPXNMLPJOHNFFDM27CA
竹山鎮,土地,社寮段181~210地號,337735.0,,山坡地保育區,農牧用地,1070403,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,110000000,326,,0.0,0,權利人共6人,RPTNMLOJOHNFFDM76CA
