鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
內湖區,房地(土地+建物),臺北市內湖區康寧路一段151~180號,18.83,住,,,1070413,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840324,90.14999999999999,2,2,1,有,無,14200000,157515,,0.0,0,,RPROMLPLNHNFFCA18CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段121~150號,3.12,商,,,1070409,土地1建物1車位0,六層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980106,38.64,0,0,0,無,有,7150000,185041,,0.0,0,,RPTOMLPLNHNFFCA38CA
中山區,房地(土地+建物),臺北市中山區林森北路138巷31~60號,7.1,商,,,1070508,土地1建物1車位0,二層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960424,32.7,1,1,1,有,無,5900000,180428,,0.0,0,,RPVQMLPLNHNFFCA78CA
中山區,土地,北安段二小段181~210地號,153.09,其他,,,1070503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5726763,37408,,0.0,0,,RPPRMLPLNHNFFCA28CA
中山區,房地(土地+建物),臺北市中山區中山北路二段65巷1~30號,19.25,商,,,1070316,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,73.6,0,1,1,有,無,16000000,217391,,0.0,0,,RPWOMLOLNHNFFCA58CA
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段61~90號,27.38,商,,,1070511,土地2建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020607,247.82,4,2,2,有,有,58000000,257695,坡道平面,36.33,3500000,,RPSPMLOLNHNFFCA28CA
中山區,房地(土地+建物),臺北市中山區錦州街151~180號,40.0,住,,,1070423,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620216,113.42,3,2,2,有,無,15500000,136660,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLOLNHNFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段91巷35弄61~90號,14.08,商,,,1070423,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830617,93.17,3,1,2,有,有,14700000,157776,升降機械,0.0,0,,RPVOMLNLNHNFFCA38CA
中山區,房地(土地+建物),臺北市中山區民生東路三段88巷31~60號,21.02,住,,,1070402,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0750314,103.16999999999999,2,1,1,有,有,19500000,188990,,0.0,0,內含獨立產權公設，未包含在棟數內 。含增建或未登記建物。,RPUQMLNLNHNFFCA48CA
內湖區,房地(土地+建物),臺北市內湖區成功路二段320巷1~30號,30.67,商,,,1070421,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690202,124.54,3,2,2,有,無,14600000,117231,,0.0,0,含增建或未登記建物。,RPXPMLMLNHNFFCA58CA
大同區,車位,臺北市大同區南京西路18巷1~30號,0.08,商,,,1070514,土地0建物0車位2,一層,九層,其他,見其他登記事項,鋼筋混凝土造,1001129,13.72,0,0,0,有,有,3850000,,塔式車位,13.72,3850000,,RPTPMLLMNHNFFBA08CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.46,商,,,1070413,土地1建物1車位0,十三層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,51.230000000000004,1,1,1,有,有,8350000,162990,,0.0,0,,RPOPMLNLNHNFFBA67CA
中正區,房地(土地+建物),臺北市中正區重慶南路三段54巷16弄1~30號,29.0,住,,,1070408,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760530,103.33,3,2,2,有,無,16500000,159683,,0.0,0,,RPOOMLLKOHNFFAA27CA
文山區,房地(土地+建物)+車位,臺北市文山區和平東路四段66巷31~60號,78.15,住,,,1070330,土地2建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860529,228.05,4,2,3,有,有,22800000,99978,坡道平面,45.02,0,本格局實際為2.5衛。,RPPOMLLKOHNFFAA37CA
大同區,房地(土地+建物),臺北市大同區長安西路301~330號,17.96,住,,,1070416,土地2建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690314,129.9,4,2,2,有,有,18500000,142417,,0.0,0,含增建或未登記建物,RPSOMLMLNHNFFBA87CA
中正區,房地(土地+建物)+車位,臺北市中正區連雲街29巷1~30號,38.0,住,,,1070330,土地1建物1車位2,七層，見其他登記事項,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911024,169.32999999999998,2,2,1,有,有,43000000,253942,升降機械,25.84,0,內含獨立產權車位，未包含在棟數內。含增建或未登記建物。,RPTOMLMLNHNFFBA97CA
萬華區,房地(土地+建物),臺北市萬華區中華路二段504巷61~90號,16.78,住,,,1070415,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,59.84,2,1,1,有,有,9700000,162099,,0.0,0,,RPSNMLNLNHNFFBA87CA
中正區,房地(土地+建物),臺北市中正區泉州街20巷31~60號,22.67,住,,,1070410,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0560428,59.54,0,0,0,無,無,7000000,117568,,0.0,0,,RPVNMLLMNHNFFAA97CA
文山區,房地(土地+建物),臺北市文山區景華街121巷15弄1~30號,32.69,住,,,1070420,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,86.61,3,2,2,有,無,6200000,71585,,0.0,0,親友間之交易買方有兩位,RPVOMLOJOHNFFAA18CA
文山區,房地(土地+建物),臺北市文山區景興路102巷1~30號,30.25,住,,,1070418,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0571130,101.95,3,2,1,有,無,20600000,202060,,0.0,0,,RPXNMLSJOHNFFAA68CA
文山區,房地(土地+建物),臺北市文山區景華街121巷2弄1~30號,32.76,住,,,1070421,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,77.61,3,1,1,有,無,10000000,128849,,0.0,0,,RPSOMLNLNHNFFAA87CA
文山區,房地(土地+建物),臺北市文山區景中街30巷1~30號,20.12,其他,,,1070420,土地1建物1車位0,五層,七層,其他,見使用執照,鋼筋混凝土造,0770212,135.59,2,1,2,有,有,6600000,48676,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQNMLOLNHNFFAA67CA
文山區,房地(土地+建物)+車位,臺北市文山區下崙路1~30號,39.87,住,,,1070307,土地1建物1車位1,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761212,130.79,3,2,2,有,無,14900000,113923,坡道平面,0.0,0,含增建或未登記建物。內含獨立產權車位，未包含在棟數內。內含獨立產權公設，未包含在棟數內。車位面積無法概算。,RPXPMLMLNHNFFAA38CA
中正區,房地(土地+建物),臺北市中正區南昌路一段31巷1~30號,25.75,其他,,,1070425,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),,加強磚造,,94.5,4,1,1,有,無,24069068,254699,,0.0,0,本案係屬於協議價購案件,RPOQMLMLNHNFFAA57CA
